 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  H- O.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 500,00 MeV   3,576E+02  1,803E-01  808,69 um    32,22 um     4,54 um  
 550,00 MeV   3,294E+02  1,655E-01  954,36 um    38,27 um     5,27 um  
 600,00 MeV   3,067E+02  1,530E-01    1,11 mm    44,29 um     6,06 um  
 650,00 MeV   2,887E+02  1,424E-01    1,28 mm    50,29 um     6,90 um  
 700,00 MeV   2,746E+02  1,332E-01    1,46 mm    56,24 um     7,79 um  
 800,00 MeV   2,480E+02  1,180E-01    1,84 mm    78,16 um     9,71 um  
 900,00 MeV   2,256E+02  1,061E-01    2,26 mm    98,47 um    11,82 um  
   1,00 GeV   2,072E+02  9,645E-02    2,73 mm   118,28 um    14,11 um  
   1,10 GeV   1,920E+02  8,846E-02    3,23 mm   137,98 um    16,58 um  
   1,20 GeV   1,791E+02  8,174E-02    3,77 mm   157,73 um    19,23 um  
   1,30 GeV   1,680E+02  7,601E-02    4,34 mm   177,63 um    22,04 um  
   1,40 GeV   1,584E+02  7,106E-02    4,96 mm   197,73 um    25,03 um  
   1,50 GeV   1,500E+02  6,674E-02    5,60 mm   218,05 um    28,18 um  
   1,60 GeV   1,426E+02  6,293E-02    6,29 mm   238,61 um    31,48 um  
   1,70 GeV   1,360E+02  5,955E-02    7,01 mm   259,41 um    34,94 um  
   1,80 GeV   1,301E+02  5,653E-02    7,76 mm   280,45 um    38,56 um  
   2,00 GeV   1,200E+02  5,135E-02    9,36 mm   360,67 um    46,23 um  
   2,25 GeV   1,097E+02  4,612E-02   11,54 mm   474,77 um    56,61 um  
   2,50 GeV   1,013E+02  4,189E-02   13,91 mm   581,62 um    67,84 um  
   2,75 GeV   9,441E+01  3,839E-02   16,47 mm   685,12 um    79,85 um  
   3,00 GeV   8,860E+01  3,546E-02   19,20 mm   786,97 um    92,62 um  
   3,25 GeV   8,365E+01  3,295E-02   22,10 mm   888,01 um   106,09 um  
   3,50 GeV   7,937E+01  3,079E-02   25,17 mm   988,69 um   120,25 um  
   3,75 GeV   7,564E+01  2,890E-02   28,40 mm     1,09 mm   135,05 um  
   4,00 GeV   7,236E+01  2,724E-02   31,78 mm     1,19 mm   150,46 um  
