 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in  H- O.txt

 Ion = Fluorine [9] , Mass = 18,998 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,50 GeV   2,645E+01  8,071E-03  149,79 mm     5,86 mm   753,27 um  
   7,00 GeV   2,545E+01  7,537E-03  169,06 mm     6,46 mm   843,54 um  
   8,00 GeV   2,384E+01  6,662E-03  209,66 mm     8,65 mm     1,03 mm  
   9,00 GeV   2,260E+01  5,974E-03  252,75 mm    10,58 mm     1,22 mm  
  10,00 GeV   2,162E+01  5,419E-03  297,99 mm    12,37 mm     1,42 mm  
  11,00 GeV   2,083E+01  4,961E-03  345,12 mm    14,06 mm     1,63 mm  
  12,00 GeV   2,018E+01  4,577E-03  393,89 mm    15,66 mm     1,83 mm  
  13,00 GeV   1,964E+01  4,250E-03  444,12 mm    17,20 mm     2,04 mm  
  14,00 GeV   1,919E+01  3,967E-03  495,61 mm    18,68 mm     2,25 mm  
  15,00 GeV   1,881E+01  3,721E-03  548,23 mm    20,11 mm     2,46 mm  
  16,00 GeV   1,849E+01  3,505E-03  601,84 mm    21,50 mm     2,67 mm  
  17,00 GeV   1,821E+01  3,313E-03  656,33 mm    22,84 mm     2,88 mm  
  18,00 GeV   1,797E+01  3,142E-03  711,60 mm    24,14 mm     3,09 mm  
  20,00 GeV   1,758E+01  2,849E-03  824,12 mm    28,92 mm     3,50 mm  
  22,50 GeV   1,722E+01  2,553E-03  967,79 mm    35,35 mm     4,01 mm  
  25,00 GeV   1,696E+01  2,315E-03    1,11 m     40,97 mm     4,52 mm  
  27,50 GeV   1,677E+01  2,118E-03    1,26 m     46,02 mm     5,00 mm  
  30,00 GeV   1,664E+01  1,953E-03    1,41 m     50,66 mm     5,48 mm  
  32,50 GeV   1,654E+01  1,813E-03    1,56 m     54,97 mm     5,95 mm  
  35,00 GeV   1,647E+01  1,692E-03    1,71 m     59,00 mm     6,40 mm  
  37,50 GeV   1,643E+01  1,587E-03    1,87 m     62,79 mm     6,85 mm  
  40,00 GeV   1,640E+01  1,494E-03    2,02 m     66,39 mm     7,28 mm  
  45,00 GeV   1,638E+01  1,338E-03    2,32 m     79,18 mm     8,11 mm  
  50,00 GeV   1,640E+01  1,213E-03    2,63 m     90,17 mm     8,90 mm  
  55,00 GeV   1,645E+01  1,110E-03    2,93 m     99,92 mm     9,65 mm  
  60,00 GeV   1,651E+01  1,023E-03    3,24 m    108,75 mm    10,37 mm  
  65,00 GeV   1,657E+01  9,493E-04    3,54 m    116,86 mm    11,05 mm  
  70,00 GeV   1,665E+01  8,858E-04    3,84 m    124,37 mm    11,71 mm  
  80,00 GeV   1,681E+01  7,817E-04    4,44 m    150,38 mm    12,95 mm  
  90,00 GeV   1,698E+01  7,001E-04    5,03 m    172,11 mm    14,11 mm  
 100,00 GeV   1,714E+01  6,343E-04    5,61 m    191,04 mm    15,18 mm  
 110,00 GeV   1,730E+01  5,802E-04    6,20 m    207,94 mm    16,19 mm  
 120,00 GeV   1,746E+01  5,347E-04    6,77 m    223,29 mm    17,15 mm  
 130,00 GeV   1,761E+01  4,961E-04    7,34 m    237,40 mm    18,05 mm  
 140,00 GeV   1,776E+01  4,628E-04    7,91 m    250,51 mm    18,91 mm  
 150,00 GeV   1,790E+01  4,337E-04    8,47 m    262,77 mm    19,73 mm  
 160,00 GeV   1,803E+01  4,083E-04    9,02 m    274,31 mm    20,51 mm  
 170,00 GeV   1,816E+01  3,857E-04    9,58 m    285,23 mm    21,26 mm  
 180,00 GeV   1,828E+01  3,655E-04   10,12 m    295,60 mm    21,98 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  1,3239E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
