 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- O.txt

 Ion = Oxygen [8] , Mass = 15,995 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 250,00 MeV   2,141E+02  1,073E-01  678,85 um    27,36 um     4,61 um  
 275,00 MeV   1,968E+02  9,851E-02  800,62 um    32,36 um     5,35 um  
 300,00 MeV   1,821E+02  9,108E-02  932,64 um    37,40 um     6,16 um  
 325,00 MeV   1,694E+02  8,473E-02    1,07 mm    42,50 um     7,03 um  
 350,00 MeV   1,585E+02  7,925E-02    1,23 mm    47,70 um     7,97 um  
 375,00 MeV   1,491E+02  7,446E-02    1,39 mm    53,00 um     8,96 um  
 400,00 MeV   1,410E+02  7,024E-02    1,56 mm    58,38 um    10,01 um  
 450,00 MeV   1,279E+02  6,314E-02    1,93 mm    78,71 um    12,29 um  
 500,00 MeV   1,177E+02  5,739E-02    2,34 mm    97,64 um    14,79 um  
 550,00 MeV   1,089E+02  5,263E-02    2,78 mm   115,99 um    17,48 um  
 600,00 MeV   1,015E+02  4,864E-02    3,26 mm   134,17 um    20,38 um  
 650,00 MeV   9,515E+01  4,523E-02    3,77 mm   152,35 um    23,47 um  
 700,00 MeV   8,962E+01  4,228E-02    4,31 mm   170,63 um    26,75 um  
 800,00 MeV   8,050E+01  3,744E-02    5,49 mm   238,66 um    33,87 um  
 900,00 MeV   7,327E+01  3,363E-02    6,79 mm   301,70 um    41,70 um  
   1,00 GeV   6,740E+01  3,055E-02    8,21 mm   362,93 um    50,22 um  
   1,10 GeV   6,253E+01  2,800E-02    9,75 mm   423,56 um    59,39 um  
   1,20 GeV   5,843E+01  2,586E-02   11,41 mm   484,18 um    69,20 um  
   1,30 GeV   5,492E+01  2,404E-02   13,17 mm   545,06 um    79,62 um  
   1,40 GeV   5,189E+01  2,246E-02   15,04 mm   606,37 um    90,63 um  
   1,50 GeV   4,923E+01  2,109E-02   17,02 mm   668,17 um   102,21 um  
   1,60 GeV   4,690E+01  1,988E-02   19,10 mm   730,50 um   114,34 um  
   1,70 GeV   4,482E+01  1,881E-02   21,28 mm   793,36 um   127,00 um  
   1,80 GeV   4,296E+01  1,785E-02   23,56 mm   856,75 um   140,18 um  
   2,00 GeV   3,978E+01  1,620E-02   28,40 mm     1,10 mm   168,04 um  
   2,25 GeV   3,656E+01  1,454E-02   34,96 mm     1,44 mm   205,50 um  
